seed,delta,omega,rule,crossings,max_event_time_error,rms_error
101,2.0,2.4,raw,678,9.094947017729282e-13,1.1102230246251565e-16
101,2.0,2.4,hysteresis,589,9.094947017729282e-13,1.1102230246251565e-16
101,2.0,2.414213562373095,raw,676,9.094947017729282e-13,6.661338147750939e-16
101,2.0,2.414213562373095,hysteresis,598,4.547473508864641e-13,6.661338147750939e-16
101,2.0,2.425,raw,664,4.547473508864641e-13,3.3306690738754696e-16
101,2.0,2.425,hysteresis,594,4.547473508864641e-13,3.3306690738754696e-16
101,2.0,2.45,raw,676,9.094947017729282e-13,2.220446049250313e-16
101,2.0,2.45,hysteresis,589,4.547473508864641e-13,2.220446049250313e-16
101,2.0,2.475,raw,664,9.094947017729282e-13,1.1102230246251565e-16
101,2.0,2.475,hysteresis,592,9.094947017729282e-13,1.1102230246251565e-16
101,2.0,2.5,raw,657,4.547473508864641e-13,7.771561172376096e-16
101,2.0,2.5,hysteresis,584,4.547473508864641e-13,7.771561172376096e-16
101,2.0,2.525,raw,656,9.094947017729282e-13,0.0
101,2.0,2.525,hysteresis,579,9.094947017729282e-13,0.0
101,2.0,2.55,raw,646,4.547473508864641e-13,5.551115123125783e-16
101,2.0,2.55,hysteresis,574,4.547473508864641e-13,5.551115123125783e-16
101,2.0,2.575,raw,642,4.547473508864641e-13,4.440892098500626e-16
101,2.0,2.575,hysteresis,570,4.547473508864641e-13,4.440892098500626e-16
101,2.0,2.6,raw,647,9.094947017729282e-13,2.220446049250313e-16
101,2.0,2.6,hysteresis,574,9.094947017729282e-13,2.220446049250313e-16
101,3.0,1.9,raw,850,9.094947017729282e-13,2.220446049250313e-16
101,3.0,1.9,hysteresis,822,9.094947017729282e-13,2.220446049250313e-16
101,3.0,1.925,raw,854,9.094947017729282e-13,8.881784197001252e-16
101,3.0,1.925,hysteresis,815,9.094947017729282e-13,8.881784197001252e-16
101,3.0,1.95,raw,854,4.547473508864641e-13,2.220446049250313e-16
101,3.0,1.95,hysteresis,819,2.2737367544323206e-13,2.220446049250313e-16
101,3.0,1.975,raw,854,4.547473508864641e-13,1.3322676295501878e-15
101,3.0,1.975,hysteresis,815,4.547473508864641e-13,1.3322676295501878e-15
101,3.0,2.0,raw,863,9.094947017729282e-13,4.440892098500626e-16
101,3.0,2.0,hysteresis,809,9.094947017729282e-13,4.440892098500626e-16
101,3.0,2.025,raw,864,4.547473508864641e-13,2.220446049250313e-16
101,3.0,2.025,hysteresis,804,4.547473508864641e-13,2.220446049250313e-16
101,3.0,2.05,raw,860,4.547473508864641e-13,7.771561172376096e-16
101,3.0,2.05,hysteresis,803,4.547473508864641e-13,7.771561172376096e-16
101,3.0,2.075,raw,863,9.094947017729282e-13,3.3306690738754696e-16
101,3.0,2.075,hysteresis,793,9.094947017729282e-13,3.3306690738754696e-16
101,3.0,2.1,raw,847,9.094947017729282e-13,6.661338147750939e-16
101,3.0,2.1,hysteresis,795,9.094947017729282e-13,6.661338147750939e-16
101,3.0,2.125,raw,860,4.547473508864641e-13,3.3306690738754696e-16
101,3.0,2.125,hysteresis,802,4.547473508864641e-13,3.3306690738754696e-16
101,3.0,2.15,raw,857,4.547473508864641e-13,7.771561172376096e-16
101,3.0,2.15,hysteresis,784,2.2737367544323206e-13,7.771561172376096e-16
101,3.0,2.175,raw,858,9.094947017729282e-13,5.551115123125783e-16
101,3.0,2.175,hysteresis,795,9.094947017729282e-13,5.551115123125783e-16
101,3.0,2.2,raw,855,9.094947017729282e-13,3.3306690738754696e-16
101,3.0,2.2,hysteresis,782,9.094947017729282e-13,3.3306690738754696e-16
101,3.0,2.225,raw,862,9.094947017729282e-13,3.3306690738754696e-16
101,3.0,2.225,hysteresis,789,9.094947017729282e-13,3.3306690738754696e-16
101,3.0,2.25,raw,854,4.547473508864641e-13,5.551115123125783e-16
101,3.0,2.25,hysteresis,785,4.547473508864641e-13,5.551115123125783e-16
101,3.0,2.275,raw,851,4.547473508864641e-13,0.0
101,3.0,2.275,hysteresis,768,4.547473508864641e-13,0.0
101,3.0,2.3,raw,846,4.547473508864641e-13,4.440892098500626e-16
101,3.0,2.3,hysteresis,768,4.547473508864641e-13,4.440892098500626e-16
101,3.0,2.325,raw,839,4.547473508864641e-13,0.0
101,3.0,2.325,hysteresis,757,4.547473508864641e-13,0.0
101,3.0,2.3333333333333335,raw,838,4.547473508864641e-13,3.3306690738754696e-16
101,3.0,2.3333333333333335,hysteresis,756,4.547473508864641e-13,3.3306690738754696e-16
101,3.0,2.35,raw,840,9.094947017729282e-13,0.0
101,3.0,2.35,hysteresis,741,9.094947017729282e-13,0.0
101,3.0,2.375,raw,839,4.547473508864641e-13,0.0
101,3.0,2.375,hysteresis,745,4.547473508864641e-13,0.0
101,3.0,2.4,raw,847,4.547473508864641e-13,0.0
101,3.0,2.4,hysteresis,760,4.547473508864641e-13,0.0
101,3.0,2.414213562373095,raw,839,9.094947017729282e-13,5.551115123125783e-16
101,3.0,2.414213562373095,hysteresis,749,9.094947017729282e-13,5.551115123125783e-16
101,3.0,2.425,raw,820,9.094947017729282e-13,1.1102230246251565e-16
101,3.0,2.425,hysteresis,732,9.094947017729282e-13,1.1102230246251565e-16
