r,delta,seed,dt,rule,cycles,mean_N,median_N,integer_fraction,band1,band2,band3,event_R1,event_R2,interval_R,next2_given2,event_Omega
0.0,0.0,301,0.005,hysteresis,454,2.4524186026220174,2.3197342688388902,0.11013215859030837,0.0,0.07268722466960352,0.019823788546255508,0.051274207970203045,0.014806345742422048,0.48391672057916035,0.1875,0.9514417036466112
0.0,2.0,301,0.005,raw,647,1.7202993181948563,2.042663661952794,0.29057187017001546,0.1777434312210201,0.10510046367851623,0.0077279752704791345,0.6468468357824558,0.2617132680648108,0.3907646568584719,0.23529411764705882,1.3563531117257814
0.0,2.0,301,0.005,hysteresis,581,1.915720583256578,2.1249951639501834,0.3132530120481928,0.13769363166953527,0.16179001721170397,0.012048192771084338,0.6561872115168997,0.2976916303658563,0.41569624219703,0.30851063829787234,1.2179925160937852
0.0,4.0,301,0.005,raw,889,1.2519840691275863,1.046017480820716,0.4330708661417323,0.3700787401574803,0.06299212598425197,0.0,0.8035702787308329,0.43082528350667165,0.5428836304988307,0.14285714285714285,1.863708485491559
0.0,4.0,301,0.005,hysteresis,823,1.3523861937477815,1.0616682812839608,0.46780072904009723,0.3754556500607533,0.09234507897934387,0.0,0.8318326496857256,0.49356865209673767,0.6102654455116754,0.14473684210526316,1.725345425826269
0.5,0.0,301,0.005,raw,481,2.3154291967179432,2.283521826234491,0.13721413721413722,0.004158004158004158,0.11434511434511435,0.016632016632016633,0.046318844816648566,0.04191331939377156,0.44942664181713193,0.10909090909090909,1.0077325347027535
0.5,0.0,301,0.005,hysteresis,457,2.4370272289307016,2.3087072473535573,0.12691466083150985,0.0,0.10284463894967177,0.01312910284463895,0.036562715818970665,0.03749216540680048,0.46171696510445775,0.06382978723404255,0.957450661869352
0.5,2.0,301,0.005,raw,596,1.8688681923527874,2.122298602293735,0.2802013422818792,0.13087248322147652,0.14093959731543623,0.008389261744966443,0.5621591885119599,0.1954483401609049,0.33569150163170436,0.21428571428571427,1.2485275006985985
0.5,2.0,301,0.005,hysteresis,531,2.09763736844117,2.165274001398741,0.3013182674199623,0.07532956685499058,0.20903954802259886,0.015065913370998116,0.5573703120737069,0.22391369976392944,0.3764671250298595,0.3153153153153153,1.1123625887096575
0.5,4.0,301,0.005,raw,742,1.5011796050555648,1.1631260739727312,0.35983827493261455,0.25067385444743934,0.1078167115902965,0.0013477088948787063,0.727503202288728,0.3357411381301556,0.4672938791979204,0.125,1.554333222670559
