r,delta,rule,seed,cycles,mean_N,median_N,integer_fraction,band1,band2,band3,event_R1,event_R2,interval_R,next2_given2,event_Omega,Q2,phase_drift2,residual_variance
0,1,hysteresis,102,486,2.2879603442723173,2.2993543487623143,0.15843621399176955,0.01440329218106996,0.12139917695473251,0.018518518518518517,0.38121795160327676,0.04509671829370508,0.28818963007450976,0.1694915254237288,1.0198311955775818,0.0051005876861313516,-0.16380112898191967,0.5058727426742349
0,1,hysteresis,103,492,2.2600963027534826,2.2658503465759914,0.20528455284552846,0.03861788617886179,0.13414634146341464,0.02032520325203252,0.42230159700727077,0.10563289804011528,0.31894389879545487,0.25757575757575757,1.0324043849329014,0.00945906875127927,-0.08814082939065448,0.4649417104002219
0,1,hysteresis,104,481,2.3137757706225437,2.29626792848992,0.14137214137214138,0.012474012474012475,0.10395010395010396,0.02286902286902287,0.35696822753262725,0.1060916994073804,0.3853573786708067,0.18,1.0084526612125113,0.00691317736280162,-0.16642387308438877,0.6031095201585521
0,1,hysteresis,105,483,2.3018302736208187,2.290322278752615,0.14699792960662525,0.010351966873706004,0.11387163561076605,0.020703933747412008,0.3890103773911171,0.07031870129262167,0.34727423298525933,0.2,1.0136860914870844,0.009658977791278202,-0.180307011694135,0.5446158210040448
0,1,hysteresis,106,498,2.2321837996361515,2.278538216669812,0.1606425702811245,0.02208835341365462,0.10642570281124498,0.030120481927710843,0.4169805419738459,0.08179738887047494,0.26841104658719106,0.1320754716981132,1.0453141599332767,0.007022775870555517,-0.0656652309861756,0.4856183499952482
0,1,hysteresis,107,483,2.3010422573705407,2.276145939003851,0.13664596273291926,0.006211180124223602,0.11594202898550725,0.012422360248447204,0.39348438028089683,0.03789519555874663,0.34652530773505247,0.16071428571428573,1.0140332390069589,0.015585929882114023,-0.14238140075775618,0.6091150831315243
0,1,hysteresis,108,479,2.321242511761973,2.29619713682538,0.14613778705636743,0.010438413361169102,0.11691022964509394,0.014613778705636743,0.36597401530237844,0.05827636456684152,0.28949028103714475,0.08928571428571429,1.0052087713843318,0.013063112839631873,-0.14256237422451923,0.48911243451616854
0,1,hysteresis,201,495,2.2488623493065916,2.2730244777645217,0.18383838383838383,0.028282828282828285,0.13131313131313133,0.022222222222222223,0.38565835695218004,0.06250634331559596,0.2950858391400863,0.16923076923076924,1.0375616515847612,0.01905614758942101,-0.08773287735872382,0.4700380391779305
0,1,hysteresis,202,489,2.268832765194248,2.2781597379213743,0.21063394683026584,0.034764826175869123,0.130879345603272,0.04294478527607362,0.42072305944795274,0.13511413315158194,0.3162920098557664,0.1875,1.0284289653819254,0.005822814428729078,-0.07220635705551315,0.5355321270425615
0,1,hysteresis,203,484,2.2929082244798136,2.2795339606458356,0.16942148760330578,0.01652892561983471,0.11983471074380166,0.028925619834710745,0.409285410600897,0.05851824390283801,0.3406673357285411,0.2413793103448276,1.0176304958139748,0.010827677233632843,-0.11033334538248285,0.5219076743345711
0,1,hysteresis,204,504,2.2049875590781145,2.248543208215639,0.2361111111111111,0.037698412698412696,0.1626984126984127,0.03571428571428571,0.45111149998096267,0.08709033632191132,0.2627069377589822,0.24691358024691357,1.0582070287547924,0.02693539234554327,-0.03816393900740822,0.415096712538097
0,1,hysteresis,205,490,2.2690345992272825,2.286252840479321,0.1510204081632653,0.022448979591836733,0.09387755102040816,0.030612244897959183,0.4120311177582972,0.09467958005194997,0.2709169326455622,0.10869565217391304,1.0283374850819587,0.012781043649765846,-0.10125641359591331,0.4335000716873008
0,1,hysteresis,206,484,2.300378863189872,2.286896263566337,0.16322314049586778,0.01859504132231405,0.12396694214876033,0.014462809917355372,0.3940339306693177,0.06822210842496543,0.3469121871709161,0.18333333333333332,1.0143256707278925,0.009584040040050238,-0.1414553587423959,0.5224031522647241
0,1,hysteresis,207,485,2.288414183987781,2.2782644319499084,0.15463917525773196,0.01443298969072165,0.11752577319587629,0.02268041237113402,0.40553320059555625,0.07621764904488272,0.30720141998381234,0.15789473684210525,1.0196289420245055,0.014172608375429883,-0.15965912445919717,0.4958531640617674
0,1,hysteresis,208,486,2.2899087632386737,2.280590491286919,0.19753086419753085,0.030864197530864196,0.13580246913580246,0.024691358024691357,0.3998743567707776,0.11489158470593415,0.3093737502739678,0.12121212121212122,1.018963449894503,0.009103485173498795,-0.02978609787193598,0.49005078592705936
0,1.5,raw,101,604,1.8426215905209908,2.0957801475882185,0.28311258278145696,0.13079470198675497,0.1456953642384106,0.006622516556291391,0.6043485075779679,0.19804536768411335,0.3368525267618549,0.23863636363636365,1.266311729623008,0.007525841078282949,0.20076916301962866,0.4218199339339706
0,1.5,raw,102,575,1.9338422679168612,2.16368673934981,0.19826086956521738,0.08521739130434783,0.09913043478260869,0.01391304347826087,0.5367107341593765,0.08104210172498154,0.2675950102032662,0.10526315789473684,1.2065789294422677,0.011883280936042797,0.07505629894939636,0.5058727365379692
0,1.5,raw,103,603,1.844051734569937,2.1252369676109235,0.24378109452736318,0.12603648424543948,0.11276948590381426,0.004975124378109453,0.5759283881704065,0.1462809008350126,0.3061692590525205,0.23529411764705882,1.2653296486161245,0.004230332019600306,0.19253163323337752,0.4649417001244589
0,1.5,raw,104,567,1.9629056593498637,2.1788306894051637,0.19400352733686066,0.08112874779541446,0.1111111111111111,0.001763668430335097,0.5087557687958116,0.13275618940710698,0.3215536555643435,0.1746031746031746,1.1887139467039693,0.0034008741860465205,0.0427373868108849,0.603109529564106
0,1.5,raw,105,565,1.9717703917643261,2.181467027100809,0.21946902654867256,0.09911504424778761,0.1079646017699115,0.012389380530973451,0.5526422116441608,0.13360447250044596,0.30874463496220994,0.13114754098360656,1.1833696981551098,0.010139761136471822,0.029172754621387575,0.5446158108984949
0,1.5,raw,106,597,1.8621021431136648,2.131354531399835,0.22780569514237856,0.10385259631490787,0.10720268006700168,0.01675041876046901,0.568860055047855,0.14444775143715902,0.2684774720272931,0.09375,1.253064093160707,0.00431364410504176,0.1734648782730952,0.4856183618105728
0,1.5,raw,107,562,1.9787409268155947,2.182805920319259,0.1797153024911032,0.07651245551601424,0.09786476868327403,0.005338078291814947,0.5370489052087919,0.11517661374411947,0.3049059142083979,0.09090909090909091,1.1792010271341522,0.015199300291637975,0.025153116969137024,0.6091150810190503
0,1.5,raw,108,578,1.927390158789941,2.168685420035823,0.2093425605536332,0.08823529411764706,0.11072664359861592,0.010380622837370242,0.5327354998903211,0.09374380935352411,0.2729757555359435,0.109375,1.2106180591885212,0.01225972049553475,0.07947398229656777,0.4891124519340047
0,1.5,raw,201,593,1.878417196358577,2.1399014572066144,0.2327150084317032,0.10286677908937605,0.1163575042158516,0.01011804384485666,0.5463336705353234,0.139214341353522,0.27458980982755277,0.17391304347826086,1.2421805644968744,0.0111337307205444,0.14674417956821273,0.47003802843544246
0,1.5,raw,202,594,1.8677289593001982,2.1460040003588565,0.2609427609427609,0.12121212121212122,0.11784511784511785,0.021885521885521887,0.5628960416921984,0.16664079689191016,0.3107680765208876,0.18571428571428572,1.2492890479181673,0.0035421725470551574,0.16244812836816092,0.5355321434496138
0,1.5,raw,203,582,1.9069504846327385,2.161415578683612,0.24398625429553264,0.11512027491408934,0.11683848797250859,0.012027491408934709,0.5570465738991627,0.133822427698578,0.30092769811986697,0.17647058823529413,1.2235940849731672,0.010173355351394854,0.11182440593468979,0.5219077166881204
0,1.5,raw,204,606,1.8364941345320873,2.1137088092841063,0.2590759075907591,0.13036303630363036,0.1188118811881188,0.009900990099009901,0.6014094614735361,0.15449781966163825,0.3066738541160609,0.1527777777777778,1.2705367740952977,0.026158756328574975,0.20906433160519278,0.41509672027425015
