r,delta,seed,sample_dt,rule,cycles,mean_N,median_N,integer_fraction,band1,band2,band3,event_R1,event_R2,interval_R,next2_given2,event_Omega
0.0,2.0,202,0.05,raw,659,1.683454475983574,2.0025697534405156,0.2867981790591806,0.18664643399089528,0.08649468892261002,0.013657056145675266,0.6534115259698404,0.23205590600964768,0.3613831429170509,0.10526315789473684,1.3860388662841994
0.0,2.0,202,0.05,hysteresis,579,1.9160561306963302,2.1259668634627467,0.307426597582038,0.1381692573402418,0.14162348877374784,0.027633851468048358,0.6697709194592579,0.285025096383898,0.39640049956648504,0.21951219512195122,1.2177792163559202
0.0,2.0,202,0.2,raw,657,1.6885793341088744,2.0105989990724544,0.2831050228310502,0.182648401826484,0.0867579908675799,0.0136986301369863,0.6470531015517773,0.2274616415259001,0.35608640920422113,0.10526315789473684,1.3818322220345776
0.0,2.0,202,0.2,hysteresis,578,1.919371319220641,2.131623775762403,0.3044982698961938,0.13667820069204153,0.14013840830449828,0.02768166089965398,0.6649521309626871,0.2801976759590971,0.39217827657050097,0.2222222222222222,1.2156758361278326
0.0,3.0,202,0.05,raw,789,1.4059761921869005,1.1121061612490288,0.33460076045627374,0.26996197718631176,0.060836501901140684,0.0038022813688212928,0.7514047723003364,0.34364690451882907,0.4641535501598919,0.0625,1.6595823928597198
0.0,3.0,202,0.05,hysteresis,714,1.553662766996449,1.1707542877570254,0.3907563025210084,0.26750700280112044,0.11204481792717087,0.011204481792717087,0.7831488965492132,0.4106693290640751,0.535634292474574,0.1375,1.5018274125498605
0.0,3.0,202,0.2,raw,789,1.4059768836829902,1.115227055007579,0.33079847908745247,0.2674271229404309,0.060836501901140684,0.0025348542458808617,0.7436471974942672,0.3330797176471245,0.45107467472711266,0.0625,1.6595815766338284
0.0,3.0,202,0.2,hysteresis,713,1.5558425823644866,1.1755038495973555,0.3870967741935484,0.2650771388499299,0.11220196353436185,0.009817671809256662,0.7769617510572673,0.40177813283603886,0.5245929800442846,0.1375,1.4997232752090237
0.0,4.0,202,0.05,raw,904,1.229181376231236,1.0398764079762555,0.4059734513274336,0.3639380530973451,0.0420353982300885,0.0,0.8073155978463558,0.43329058620703076,0.538811957730109,0.10526315789473684,1.8982823678044256
0.0,4.0,202,0.05,hysteresis,830,1.338771041100045,1.0668062056472964,0.4566265060240964,0.36987951807228914,0.0855421686746988,0.0012048192771084338,0.8378509091462074,0.5008210898470532,0.6188288386253451,0.08571428571428572,1.7428919969885766
0.0,4.0,202,0.2,raw,903,1.230548061042475,1.040396451383173,0.39424141749723146,0.35105204872646734,0.04318936877076412,0.0,0.8008062267457907,0.4222715819694773,0.527748227559436,0.10256410256410256,1.8961740765790327
0.0,4.0,202,0.2,hysteresis,828,1.3420107477311047,1.0677732890137388,0.44565217391304346,0.35628019323671495,0.08816425120772947,0.0012077294685990338,0.8330838643758331,0.4916647456959868,0.6107435291439972,0.08333333333333333,1.738684535334927
0.5,0.0,202,0.05,raw,473,2.3452723058260454,2.315244207775914,0.10782241014799154,0.0021141649048625794,0.08456659619450317,0.021141649048625793,0.03440217176054812,0.04128977190369532,0.39301229110294367,0.075,0.9949093448709331
0.5,0.0,202,0.05,hysteresis,450,2.465141779234932,2.328742362842388,0.10222222222222223,0.0,0.08,0.017777777777777778,0.029949320283938523,0.03598072143782075,0.41922520573029215,0.08333333333333333,0.9465310892006763
0.5,0.0,202,0.2,raw,473,2.34527293222531,2.3141307393409196,0.10993657505285412,0.0021141649048625794,0.08668076109936575,0.021141649048625793,0.03402662736413284,0.04112848433774337,0.3929390791892806,0.07317073170731707,0.9949090791404616
0.5,0.0,202,0.2,hysteresis,448,2.4761475378182403,2.3309325979545155,0.10044642857142858,0.0,0.078125,0.017857142857142856,0.0285645303813743,0.03842489907397912,0.42345365780030775,0.08571428571428572,0.9423240326742638
0.5,1.0,202,0.05,raw,513,2.1623616946924504,2.243076315410638,0.17738791423001948,0.037037037037037035,0.11500974658869395,0.025341130604288498,0.37679643556108927,0.0568791499158101,0.3025770040125219,0.11864406779661017,1.079067086260608
0.5,1.0,202,0.05,hysteresis,478,2.32069361794399,2.284825293396316,0.17782426778242677,0.006276150627615063,0.13179916317991633,0.03765690376569038,0.3567597519355624,0.07548897826201367,0.3287976787673603,0.1111111111111111,1.0054465248198259
0.5,1.0,202,0.2,raw,513,2.1623632928885534,2.2436603347542188,0.17153996101364521,0.03508771929824561,0.11306042884990253,0.023391812865497075,0.37285521008019556,0.053643512915559625,0.3026644135804048,0.1206896551724138,1.0790662887254219
0.5,1.0,202,0.2,hysteresis,478,2.32069533316282,2.2848591317677873,0.17154811715481172,0.006276150627615063,0.1297071129707113,0.03347280334728033,0.3534343800068285,0.0735718164790785,0.3291203318645966,0.11290322580645161,1.0054457816973716
0.5,1.5,202,0.05,raw,548,2.02422615443595,2.197323485671377,0.22262773722627738,0.07846715328467153,0.12226277372262774,0.021897810218978103,0.49293723492883534,0.11902298406747336,0.3032308849026945,0.1044776119402985,1.1527038756119208
0.5,1.5,202,0.05,hysteresis,497,2.2319435264203227,2.230430019172781,0.22937625754527163,0.04426559356136821,0.15090543259557343,0.03420523138832998,0.4800286023290646,0.13862188650394996,0.3193807270364342,0.13333333333333333,1.0454266901078915
0.5,1.5,202,0.2,raw,547,2.027927420601842,2.1990053219820034,0.21937842778793418,0.07495429616087751,0.12248628884826325,0.021937842778793418,0.4891271614534078,0.1148615643630262,0.3059736317446047,0.1044776119402985,1.1506000212970415
0.5,1.5,202,0.2,hysteresis,496,2.2364441513492084,2.2310203732991107,0.22782258064516128,0.04233870967741935,0.15120967741935484,0.034274193548387094,0.476933251189158,0.1370664980234309,0.3180933917394354,0.13333333333333333,1.0433228712309555
0.5,2.0,202,0.05,raw,591,1.8769174747264823,2.125008182870223,0.24873096446700507,0.10998307952622674,0.11844331641285956,0.02030456852791878,0.5765568317249643,0.1688521186076153,0.3283046532671431,0.14285714285714285,1.2431731095014515
0.5,2.0,202,0.05,hysteresis,526,2.10885594593793,2.1831979066198306,0.2718631178707224,0.07034220532319392,0.16730038022813687,0.034220532319391636,0.5764025765204825,0.20011987848395787,0.33992672866164125,0.20454545454545456,1.106445102534287
