r,delta,seed,factor,cycles,mean_N,median_N,integer_fraction,band1,band2,band3,event_R1,event_R2,interval_R,next2_given2,event_Omega
0.5,2.0,201,0.1,579,1.9199920098999366,2.1348300894338346,0.2918825561312608,0.12780656303972365,0.14853195164075994,0.015544041450777202,0.5800994746340212,0.17071751657284237,0.30072463761337587,0.2441860465116279,1.215282835189996
0.5,2.0,201,0.25,543,2.047284297849103,2.1746279901224814,0.3020257826887661,0.10865561694290976,0.1731123388581952,0.020257826887661142,0.5716894060023675,0.18093774980115443,0.30287205913782295,0.26595744680851063,1.1397212081315509
0.5,2.0,201,0.5,470,2.365266752621411,2.2503081659992406,0.28085106382978725,0.01702127659574468,0.20638297872340425,0.03829787234042553,0.5228054474270494,0.133164463336626,0.2789729555145217,0.28865979381443296,0.9864990199297032
0.5,3.0,201,0.1,666,1.672680371198523,1.9857386249600952,0.34234234234234234,0.1996996996996997,0.13513513513513514,0.0075075075075075074,0.6869658517316614,0.26560761695402757,0.4182691098127667,0.17777777777777778,1.3949666496423545
0.5,3.0,201,0.25,616,1.8084498818477537,2.0697486968199446,0.3425324675324675,0.16558441558441558,0.1672077922077922,0.00974025974025974,0.6922111768732733,0.2860923730067463,0.41928526149036643,0.23300970873786409,1.2902394236932289
0.5,3.0,201,0.5,521,2.133809453302075,2.1495931370059655,0.3531669865642994,0.06525911708253358,0.2571976967370441,0.026871401151631478,0.6723065772677645,0.27706043718025164,0.42787509344430164,0.31343283582089554,1.0935059499912212
0.5,4.0,201,0.1,745,1.495306153455585,1.1533853176889621,0.35570469798657717,0.24563758389261744,0.1087248322147651,0.0013422818791946308,0.7453968115500496,0.34099009941173597,0.46130723052665773,0.16049382716049382,1.5604385282178537
0.5,4.0,201,0.25,683,1.6310440473271026,1.917061706679856,0.37920937042459735,0.21961932650073207,0.15519765739385066,0.004392386530014641,0.7552365526538197,0.3708669756908356,0.5027715283857795,0.20754716981132076,1.4305765298963677
0.5,4.0,201,0.5,586,1.8971606882539525,2.0774887656247256,0.39078498293515357,0.13310580204778158,0.23720136518771331,0.020477815699658702,0.7500483784207317,0.38184479826530326,0.5204474761059132,0.2733812949640288,1.2299081188957226
0.0,0.0,202,0.1,466,2.380915173594669,2.3322009244911426,0.09227467811158799,0.002145922746781116,0.07510729613733906,0.01072961373390558,0.039809763445974394,0.0226659213774329,0.44727616534812387,0.05714285714285714,0.9800153147877599
0.0,0.0,202,0.25,444,2.498888447961972,2.345792008208832,0.09234234234234234,0.0,0.06981981981981981,0.009009009009009009,0.04271930039094116,0.019618837471111615,0.4675695753448877,0.06451612903225806,0.933748497351428
0.0,0.0,202,0.5,396,2.801784017411908,2.354985878522705,0.07575757575757576,0.0,0.047979797979797977,0.007575757575757576,0.034720331334192216,0.01683735503552505,0.49817414521215403,0.05263157894736842,0.8328027138539763
0.0,1.0,202,0.1,517,2.145955942321059,2.2422001027824874,0.218568665377176,0.059961315280464215,0.13539651837524178,0.02321083172147002,0.43674521563040425,0.12703567168050328,0.31267375194297986,0.21428571428571427,1.0873165135019538
0.0,1.0,202,0.25,489,2.268832765194248,2.2781597379213743,0.21063394683026584,0.034764826175869123,0.130879345603272,0.04294478527607362,0.42072305944795274,0.13511413315158194,0.3162920098557664,0.1875,1.0284289653819254
0.0,1.0,202,0.5,439,2.5272419639635246,2.3278358580619,0.1776765375854214,0.004555808656036446,0.10933940774487472,0.03189066059225513,0.37006769719722354,0.09652862381368661,0.34721762624980057,0.125,0.9232726294533031
0.0,1.5,202,0.1,571,1.9429614742982793,2.167504850912906,0.266199649737303,0.11033274956217162,0.13134851138353765,0.024518388791593695,0.5702003167683347,0.18676164331180847,0.32209766173639365,0.22666666666666666,1.2009159029651069
0.0,1.5,202,0.25,535,2.073702807148257,2.1995443728964523,0.27476635514018694,0.08971962616822429,0.15700934579439252,0.028037383177570093,0.5644358185566859,0.20162850633343035,0.3284879813473336,0.27380952380952384,1.1252014152124907
0.0,1.5,202,0.5,476,2.330737398790583,2.258229281694727,0.2647058823529412,0.025210084033613446,0.1722689075630252,0.052521008403361345,0.530675145861545,0.17979434218276072,0.3270727295020722,0.2682926829268293,1.0011137825068144
0.0,2.0,202,0.1,622,1.7835955040809008,2.0813676508638936,0.3070739549839228,0.1752411575562701,0.10771704180064309,0.024115755627009645,0.6701173464433602,0.2678393464686772,0.3918059506661648,0.14925373134328357,1.3082188915561974
0.0,2.0,202,0.25,579,1.9160559646603115,2.125895015201463,0.307426597582038,0.1381692573402418,0.14162348877374784,0.027633851468048358,0.6701321617170775,0.28539870818812296,0.39680913222543307,0.21951219512195122,1.2177793218826982
0.0,2.0,202,0.5,511,2.171030143910607,2.189453598334579,0.30332681017612523,0.07045009784735812,0.17221135029354206,0.05675146771037182,0.6504072736107998,0.28091202862943787,0.38811952770186564,0.26136363636363635,1.074758607050188
0.0,3.0,202,0.1,758,1.4634762368255994,1.1264701517116222,0.36015831134564646,0.2717678100263852,0.08311345646437995,0.005277044854881266,0.768593857354308,0.3720390288021496,0.49556975584111,0.12698412698412698,1.5943773288690537
0.0,3.0,202,0.25,714,1.5536624474983252,1.1707953552068147,0.3907563025210084,0.26750700280112044,0.11204481792717087,0.011204481792717087,0.7835067486871272,0.41121477914186444,0.5362611090729613,0.1375,1.5018277213885283
0.0,3.0,202,0.5,619,1.7921082189237547,2.0592991137269787,0.4184168012924071,0.18578352180936994,0.2148626817447496,0.017770597738287562,0.7829769295456828,0.42496945397152897,0.5578159390136701,0.2857142857142857,1.3020047052373938
0.0,4.0,202,0.1,876,1.2684700322887361,1.0492002436323968,0.4246575342465753,0.3710045662100457,0.05365296803652968,0.0,0.8240609240032418,0.46650806989482924,0.5789859844119601,0.08695652173913043,1.8394863685689398
0.0,4.0,202,0.25,830,1.3387707810661844,1.0667842849568367,0.4566265060240964,0.36987951807228914,0.0855421686746988,0.0012048192771084338,0.8381859478038692,0.5015047545667315,0.6194831659916835,0.08571428571428572,1.7428923355162327
0.0,4.0,202,0.5,738,1.5056636155622403,1.1207760364920696,0.5149051490514905,0.3428184281842818,0.16937669376693767,0.0027100271002710027,0.8520677317525622,0.5443552467236201,0.6731187955088314,0.18548387096774194,1.549704269410819
0.5,0.0,202,0.1,467,2.375404264786186,2.3179746850329166,0.10706638115631692,0.0,0.08565310492505353,0.021413276231263382,0.030909020647330955,0.04598802959145385,0.4029146535618484,0.075,0.9822889383181941
0.5,0.0,202,0.25,450,2.465141759233665,2.328769687240003,0.10222222222222223,0.0,0.08,0.017777777777777778,0.029961508715457993,0.03601907368553398,0.4192057818577527,0.08333333333333333,0.9465310968804869
0.5,0.0,202,0.5,393,2.8226814037026693,2.3362883425047922,0.0916030534351145,0.0,0.058524173027989825,0.010178117048346057,0.023691998738870085,0.0469888837679998,0.49206541304526447,0.08695652173913043,0.8266371579422919
0.5,1.0,202,0.1,496,2.236474964771198,2.2621887993161653,0.18548387096774194,0.028225806451612902,0.1310483870967742,0.02620967741935484,0.37079863541911534,0.07658898888946926,0.3170299508839764,0.12307692307692308,1.0433084966690183
0.5,1.0,202,0.25,478,2.320693687293962,2.284832603507896,0.17573221757322174,0.006276150627615063,0.13179916317991633,0.03556485355648536,0.3569423704415068,0.07552050629660138,0.3288288610754605,0.1111111111111111,1.0054464947737718
0.5,1.0,202,0.5,421,2.634896870609296,2.3286242079522554,0.14014251781472684,0.0023752969121140144,0.09501187648456057,0.023752969121140142,0.30194539545987137,0.07283867578740588,0.37086295477594744,0.1,0.8855501554388241
0.5,1.5,202,0.1,530,2.0929732971729513,2.2090464187417362,0.22264150943396227,0.06792452830188679,0.13018867924528302,0.024528301886792454,0.49666304411740764,0.1380689593516312,0.3096641307467081,0.13043478260869565,1.114841425108024
0.5,1.5,202,0.25,497,2.2319433551341334,2.230336865418356,0.22937625754527163,0.04426559356136821,0.15090543259557343,0.03420523138832998,0.48040399438909254,0.1389274983353437,0.31949943419977994,0.13333333333333333,1.0454267703371471
0.5,1.5,202,0.5,438,2.5325932591362204,2.298143511916699,0.18493150684931506,0.00228310502283105,0.12557077625570776,0.0365296803652968,0.42564011541043484,0.08293789724209104,0.319839884098691,0.09090909090909091,0.921321781504367
0.5,2.0,202,0.1,562,1.9737690689177003,2.1534169757506887,0.26334519572953735,0.09608540925266904,0.1423487544483986,0.02491103202846975,0.5839217548254209,0.1917502945859247,0.3391052686053792,0.1625,1.1821713948596821
0.5,2.0,202,0.25,526,2.1088559253455275,2.1830674290072647,0.2718631178707224,0.07034220532319392,0.16730038022813687,0.034220532319391636,0.5767151947709483,0.20051285871232652,0.34022222566683075,0.20454545454545456,1.1064451133384212
0.5,2.0,202,0.5,465,2.3855015413585967,2.2472849237942403,0.24731182795698925,0.010752688172043012,0.17419354838709677,0.04946236559139785,0.5369541281644606,0.1547180252549931,0.33002707441593576,0.14814814814814814,0.978131136316285
0.5,3.0,202,0.1,652,1.701263282665551,2.026168151098246,0.3328220858895706,0.18865030674846625,0.13190184049079753,0.012269938650306749,0.690964432286793,0.28608170783520215,0.4184752258978741,0.13953488372093023,1.3715298255761161
0.5,3.0,202,0.25,606,1.8304020796995693,2.0811788203259654,0.3465346534653465,0.1551155115511551,0.17326732673267325,0.018151815181518153,0.6926118577188235,0.3075743021079875,0.4370446925054466,0.17142857142857143,1.274765451379028
0.5,3.0,202,0.5,523,2.120886539766614,2.1484666138953914,0.35181644359464626,0.06883365200764818,0.23709369024856597,0.04397705544933078,0.6751931104750611,0.30662156715216127,0.43584929214500595,0.2903225806451613,1.1001688631538478
