delta,elapsed_drive_periods,phase_change_turns,ci_low,ci_high,seeds
0,66.84507609859604,-9.827766760403598,-10.669071752933311,-8.986461767873886,8
0,67.21643763247714,-9.857556703010022,-10.720811049373209,-8.994302356646836,8
0,67.58779916635822,-9.895922744572943,-10.766575653577766,-9.02526983556812,8
0,67.95916070023931,-9.932436653389011,-10.818416752052665,-9.046456554725358,8
0,68.33052223412041,-9.950555361888313,-10.823887857567911,-9.077222866208714,8
0,68.7018837680015,-10.056942806611062,-10.936449950069125,-9.177435663152998,8
0,69.07324530188258,-10.103033263375867,-10.943124507376401,-9.262942019375332,8
0,69.44460683576368,-10.201026687173288,-11.07429531093669,-9.327758063409885,8
0,69.81596836964476,-10.290447038143842,-11.169497628294149,-9.411396447993535,8
0,70.18732990352585,-10.312578562456986,-11.16352793815517,-9.461629186758802,8
0,70.55869143740694,-10.33657864656314,-11.096793144323541,-9.576364148802739,8
0,70.93005297128802,-10.305577567529637,-10.989642011637935,-9.62151312342134,8
0,71.30141450516912,-10.299045291637189,-10.94314066291225,-9.654949920362128,8
0,71.6727760390502,-10.358818189716336,-11.057587580941835,-9.660048798490838,8
0,72.04413757293129,-10.4072171257518,-11.135190940742223,-9.679243310761375,8
0,72.41549910681239,-10.527207813668245,-11.261072295530731,-9.793343331805758,8
0,72.78686064069348,-10.557940349241614,-11.358102119093482,-9.757778579389745,8
0,73.15822217457456,-10.597698855926367,-11.411202727047206,-9.784194984805529,8
0,73.52958370845566,-10.71945881142792,-11.441207162286956,-9.997710460568884,8
0,73.90094524233675,-10.762271028882385,-11.460537050277214,-10.064005007487555,8
0,74.27230677621783,-10.850970450256769,-11.496287235577752,-10.205653664935786,8
0,74.64366831009893,-10.869487430930848,-11.46844400133135,-10.270530860530346,8
0,75.01502984398002,-10.915648808643816,-11.520342499375909,-10.310955117911723,8
0,75.3863913778611,-10.91968423306267,-11.492255124597317,-10.347113341528022,8
0,75.75775291174219,-10.95330267183549,-11.528452002796346,-10.378153340874633,8
0,76.12911444562327,-10.977664104698983,-11.506707237222937,-10.448620972175028,8
0,76.50047597950436,-11.010711533890733,-11.556904528020459,-10.464518539761007,8
