delta,N,density,ci_low,ci_high,seeds
0,4.6375,0.009877452341961628,0.0030662941987638255,0.01668861048515943,16
0,4.6625,0.012200453103425471,0.004426404749990784,0.01997450145686016,16
0,4.6875,0.01769243852296624,0.007215247909095819,0.02816962913683666,16
0,4.7125,0.017600615558741768,0.005439734229917548,0.029761496887565988,16
0,4.737500000000001,0.012064976013470653,0.0011569353084082273,0.02297301671853308,16
0,4.7625,0.005312808553069247,0.000167541172859444,0.01045807593327905,16
0,4.7875000000000005,0.0029375212608538544,5.7815211228132764e-05,0.0058172273104795755,16
0,4.8125,0.0055905647123425705,-9.726830117506857e-05,0.01127839772586021,16
0,4.8375,0.008810250118722189,0.0016540509760741033,0.015966449261370273,16
0,4.862500000000001,0.009153858244025152,0.0020484798144522727,0.01625923667359803,16
0,4.8875,0.007583590937785465,0.0012753127185860342,0.013891869156984895,16
0,4.9125000000000005,0.007868083788289286,-0.00010526841222810793,0.01584143598880668,16
0,4.9375,0.010538951741826742,0.0015791429887201912,0.019498760494933293,16
0,4.9625,0.011137255085410174,0.0029999494966671033,0.019274560674153243,16
0,4.987500000000001,0.007528345711045354,0.0015566530748529041,0.013500038347237803,16
0,5.0125,0.005345150142282769,-0.0007686531931353343,0.011458953477700873,16
0,5.0375000000000005,0.0067885303767934975,-0.003037410322153415,0.01661447107574041,16
0,5.0625,0.007913475179118988,-0.0013291945858378111,0.017156144944075788,16
0,5.0875,0.008001546321514993,-0.0006562964035709811,0.01665938904660097,16
0,5.112500000000001,0.006919996344375175,0.00054292990517404,0.01329706278357631,16
0,5.1375,0.005912788269943713,9.688840055872058e-05,0.011728688139328706,16
0,5.1625000000000005,0.00591897601895772,-0.00014712840903475643,0.011985080446950198,16
0,5.1875,0.007116097337380299,-0.0008280731415512433,0.015060267816311841,16
0,5.2125,0.008667873301842578,-0.00012879956566100303,0.01746454616934616,16
0,5.237500000000001,0.007378873164487444,0.0002532074406979357,0.014504538888276953,16
0,5.2625,0.0038860215030652517,0.0001231020541228021,0.007648940952007702,16
0,5.2875000000000005,0.0036590555185566764,-0.00019395361671114717,0.0075120646538245,16
0,5.3125,0.006136922342437472,-0.0006226981421779089,0.012896542827052854,16
0,5.3375,0.006268217916656916,6.721657588641249e-05,0.01246921925742742,16
0,5.362500000000001,0.0044858117891349945,-0.0008216272141171963,0.009793250792387185,16
0,5.3875,0.003644420622255809,-0.0007513724914574287,0.008040213735969047,16
0,5.4125000000000005,0.005300781787159215,-0.0027089117507146194,0.013310475325033048,16
0,5.4375,0.006238437679106497,-0.002456580922289655,0.01493345628050265,16
0,5.4625,0.005632025709171905,0.0003432492017840941,0.010920802216559715,16
0,5.487500000000001,0.009228590101440354,-0.0003647078729755813,0.01882188807585629,16
0,5.5125,0.015023327791775652,0.00013998469217703542,0.02990667089137427,16
0,5.5375000000000005,0.01540962576368185,0.0011427364458598144,0.029676515081503888,16
0,5.5625,0.011132751766807062,0.0010808983706251177,0.021184605162989006,16
0,5.5875,0.006294722578115715,0.0002207192833822381,0.012368725872849193,16
0,5.612500000000001,0.004085308772220774,0.00016802991444095795,0.008002587630000588,16
0,5.6375,0.006789554491628814,0.0007090294055728322,0.012870079577684795,16
0,5.6625000000000005,0.013184526949105962,0.004004606762139056,0.02236444713607287,16
0,5.6875,0.017425090587557663,0.005726769841169281,0.029123411333946046,16
0,5.7125,0.014684415746584713,0.003958323329540157,0.025410508163629268,16
0,5.737500000000001,0.010013188230521209,0.0017365417393001726,0.018289834721742247,16
0,5.7625,0.009187127790888577,0.002693722663424023,0.01568053291835313,16
0,5.7875000000000005,0.011250534811795608,0.0027036034657370017,0.019797466157854215,16
0,5.8125,0.00939654633983012,0.00280074149912556,0.01599235118053468,16
0,5.8375,0.006722177923996043,0.0011412605590784058,0.012303095288913681,16
0,5.862500000000001,0.006899076002003734,0.0009679610003914905,0.012830191003615977,16
0,5.8875,0.0077102675257868965,0.0008222167335440447,0.014598318318029747,16
0,5.9125000000000005,0.0065895250480307145,0.0004268255011608607,0.01275222459490057,16
0,5.9375,0.004200031779862848,-0.0011163023473436534,0.009516365907069349,16
0,5.9625,0.0016965919891586733,-0.0011864499227184815,0.004579633901035828,16
0,5.987500000000001,0.0003511021389199601,-0.0003374701829565455,0.0010396744607964656,16
1,0.0125,0.0,0.0,0.0,16
1,0.037500000000000006,0.0,0.0,0.0,16
1,0.0625,0.0,0.0,0.0,16
1,0.08750000000000001,0.0,0.0,0.0,16
1,0.1125,0.0,0.0,0.0,16
1,0.1375,0.0,0.0,0.0,16
1,0.16250000000000003,0.0,0.0,0.0,16
1,0.1875,0.0,0.0,0.0,16
1,0.21250000000000002,0.0,0.0,0.0,16
1,0.2375,0.0,0.0,0.0,16
1,0.2625,0.0,0.0,0.0,16
1,0.28750000000000003,0.0,0.0,0.0,16
1,0.3125,0.0,0.0,0.0,16
1,0.3375,0.0,0.0,0.0,16
1,0.36250000000000004,0.0,0.0,0.0,16
1,0.3875,0.0,0.0,0.0,16
1,0.41250000000000003,0.0,0.0,0.0,16
1,0.4375,0.0,0.0,0.0,16
1,0.4625,0.0,0.0,0.0,16
1,0.48750000000000004,0.0,0.0,0.0,16
1,0.5125,0.0,0.0,0.0,16
1,0.5375000000000001,0.0,0.0,0.0,16
1,0.5625,7.014183680017905e-07,-7.936194937225879e-07,2.196456229726169e-06,16
1,0.5875000000000001,2.322778626850766e-05,-2.6281068217852077e-05,7.27366407548674e-05,16
1,0.6125,0.0002836723169021639,-0.0003193713804703601,0.0008867160142746879,16
1,0.6375,0.00129207184188923,-0.0014080755753231218,0.003992219259101582,16
